GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
algorithms,challenges.classics,FizzBuzz,0,42,0,10,0,10,0,7,0,2
algorithms,challenges.classics,SieveOfEratosthenes,0,75,0,10,0,13,0,7,0,2
algorithms,challenges.classics,IntReverser,0,45,0,8,0,11,0,6,0,2
algorithms,challenges.classics,StringReverser,0,47,0,2,0,11,0,4,0,3
algorithms,challenges.classics,RansomNote,2,106,1,9,1,23,1,8,0,4
algorithms,challenges.classics,CaesarCipherAdvanced,5,89,1,9,1,23,1,7,0,3
algorithms,challenges.classics,Anagram,15,61,1,3,3,16,1,5,0,4
algorithms,challenges.classics,CaesarCipherSimple,0,417,1,7,0,78,1,8,0,5
algorithms,algorithms.graphs.dijsktra,ShortestPath,0,211,1,21,0,29,1,14,0,4
algorithms,challenges.linkedLists,Palindrome,100,3,10,0,21,1,6,1,1,1
algorithms,challenges.linkedLists,LinkedListRemoveDuplicates,2,84,1,11,1,28,1,10,0,5
algorithms,challenges.linkedLists,LinkedListAdder,0,72,0,6,0,21,0,7,0,4
algorithms,challenges.linkedLists,Node,0,6,0,0,0,3,0,1,0,1
algorithms,challenges.linkedLists,LinkedListLoopDetector,2,50,2,8,1,17,2,7,0,4
algorithms,challenges.stacksAndQueues,StackOfPlates,4,88,2,6,0,21,2,6,0,4
algorithms,challenges.stacksAndQueues,MinStack,0,45,0,2,0,12,0,5,0,4
algorithms,challenges.stacksAndQueues,MinStack.Node,0,12,0,0,0,4,0,1,0,1
algorithms,challenges.arraysAndStrings,PalindromeDetector,0,33,0,4,0,7,0,4,0,2
algorithms,challenges.arraysAndStrings,OneAwayDetector,9,96,3,19,3,24,3,12,0,4
algorithms,challenges.arraysAndStrings,Compressor,138,55,12,8,27,10,7,6,1,2
algorithms,challenges.arraysAndStrings,URLConverter,0,87,0,6,0,19,0,6,0,3
algorithms,challenges.arraysAndStrings,PermutationDetector,2,26,1,1,0,6,1,3,0,3
algorithms,challenges.arraysAndStrings,UniqueCharacterDetector,2,34,1,5,0,9,1,4,0,2
algorithms,challenges.arraysAndStrings,Zeroer1,0,105,0,12,0,19,0,11,0,5
algorithms,challenges.arraysAndStrings,Zeroer2,7,157,5,25,3,31,5,14,0,4
algorithms,challenges.arraysAndStrings,Zeroer1.Pair,0,12,0,0,0,4,0,1,0,1
algorithms,datastructures,HashTable.HashEntry,0,15,0,0,0,5,0,1,0,1
algorithms,datastructures,Queue.Node,9,0,0,0,3,0,1,0,1,0
algorithms,datastructures,SingleLinkedList,30,148,7,15,10,40,5,13,0,7
algorithms,datastructures,LinkedListWithIndex.Node,0,9,0,0,0,4,0,1,0,1
algorithms,datastructures,SingleLinkedList.Node,0,9,0,0,0,4,0,1,0,1
algorithms,datastructures,LinkedList,13,141,4,20,5,47,4,17,0,9
algorithms,datastructures,DynamicArray,26,177,4,16,4,38,4,17,1,10
algorithms,datastructures,Stack,8,55,1,3,1,13,2,6,1,5
algorithms,datastructures,Stack.Node,0,9,0,0,0,3,0,1,0,1
algorithms,datastructures,HashTable,6,172,3,17,2,41,3,12,0,5
algorithms,datastructures,LinkedList.Node,0,9,0,0,0,3,0,1,0,1
algorithms,datastructures,PrettyPrinter,3,49,0,4,1,9,1,3,1,1
algorithms,datastructures,LinkedListWithIndex,2,48,1,7,1,15,1,6,0,3
algorithms,datastructures,Queue,57,0,8,0,15,0,9,0,5,0
algorithms,challenges.binaryTrees,CustomBinaryTreeNode,0,12,0,0,0,5,0,1,0,1
algorithms,challenges.binaryTrees,SimpleBinarySearchTree.Node,0,9,0,0,0,3,0,1,0,1
algorithms,challenges.binaryTrees,SubtreeChecker,0,13,0,0,0,4,0,2,0,2
algorithms,challenges.binaryTrees,CustomBinaryTree,0,90,0,8,0,21,0,9,0,5
algorithms,challenges.binaryTrees,SimpleBinarySearchTree,149,82,17,9,20,23,11,9,2,5
